# ASASSN-15lh-SALT-new-mjd57209.99.photflux.dat writespec.pro: Thu Jul  9 12:59:17 2015
# flux matched to 57203 spectrum
#
       3364.9531   2.7103692e-15
       3365.2014   2.7009480e-15
       3365.4497   2.6465760e-15
       3365.6979   2.5086794e-15
       3365.9462   2.6704907e-15
       3366.1944   2.7437149e-15
       3366.4427   2.6799657e-15
       3366.6910   2.8018784e-15
       3366.9392   2.6912433e-15
       3367.1875   2.4538247e-15
       3367.4358   2.4857926e-15
       3367.6840   2.5789604e-15
       3367.9323   2.4908317e-15
       3368.1806   2.3701653e-15
       3368.4288   2.4283250e-15
       3368.6771   2.7053527e-15
       3368.9254   2.7893186e-15
       3369.1736   2.7417444e-15
       3369.4219   2.6558932e-15
       3369.6701   2.4088267e-15
       3369.9184   2.4148068e-15
       3370.1667   2.6675217e-15
       3370.4149   2.8176422e-15
       3370.6632   2.8562334e-15
       3370.9115   2.7799624e-15
       3371.1597   2.6031462e-15
       3371.4080   2.5431790e-15
       3371.6563   2.5572877e-15
       3371.9045   2.5822463e-15
       3372.1528   2.5773598e-15
       3372.4011   2.5887807e-15
       3372.6493   2.6988648e-15
       3372.8976   2.7400923e-15
       3373.1458   2.6832733e-15
       3373.3941   2.7084702e-15
       3373.6424   2.7916688e-15
       3373.8906   2.6608056e-15
       3374.1389   2.5463554e-15
       3374.3872   2.6402546e-15
       3374.6354   2.6701286e-15
       3374.8837   2.6914008e-15
       3375.1320   2.7235739e-15
       3375.3802   2.6349248e-15
       3375.6285   2.5361090e-15
       3375.8768   2.5788973e-15
       3376.1250   2.6769735e-15
       3376.3733   2.6419021e-15
       3376.6215   2.5563740e-15
       3376.8698   2.6689150e-15
       3377.1181   2.7165693e-15
       3377.3663   2.5834784e-15
       3377.6146   2.4852160e-15
       3377.8629   2.4469164e-15
       3378.1111   2.5441981e-15
       3378.3594   2.6668483e-15
       3378.6077   2.6329874e-15
       3378.8559   2.5420842e-15
       3379.1042   2.5195076e-15
       3379.3525   2.4507450e-15
       3379.6007   2.5878754e-15
       3379.8490   2.7676832e-15
       3380.0973   2.6438031e-15
       3380.3455   2.5056474e-15
       3380.5938   2.5973037e-15
       3380.8420   2.6650655e-15
       3381.0903   2.5183473e-15
       3381.3386   2.4558471e-15
       3381.5868   2.5757875e-15
       3381.8351   2.7052158e-15
       3382.0834   2.6492952e-15
       3382.3316   2.6479066e-15
       3382.5799   2.8060719e-15
       3382.8282   2.7050160e-15
       3383.0764   2.6521689e-15
       3383.3247   2.7467292e-15
       3383.5730   2.5976189e-15
       3383.8212   2.4395688e-15
       3384.0695   2.5365689e-15
       3384.3177   2.6048691e-15
       3384.5660   2.5585908e-15
       3384.8143   2.5473897e-15
       3385.0625   2.6374118e-15
       3385.3108   2.6246668e-15
       3385.5591   2.4757475e-15
       3385.8073   2.4089597e-15
       3386.0556   2.5243145e-15
       3386.3039   2.6307578e-15
       3386.5521   2.5811615e-15
       3386.8004   2.6065981e-15
       3387.0487   2.5762395e-15
       3387.2969   2.5383641e-15
       3387.5452   2.5341239e-15
       3387.7934   2.5732851e-15
       3388.0417   2.5567156e-15
       3388.2900   2.6645007e-15
       3388.5382   2.8206194e-15
       3388.7865   2.6979620e-15
       3389.0348   2.4938920e-15
       3389.2830   2.5563260e-15
       3389.5313   2.7669155e-15
       3389.7796   2.8037683e-15
       3390.0278   2.7570229e-15
       3390.2761   2.6987797e-15
       3390.5244   2.6811903e-15
       3390.7726   2.5471929e-15
       3391.0209   2.3527521e-15
       3391.2691   2.4870852e-15
       3391.5174   2.5751275e-15
       3391.7657   2.5571304e-15
       3392.0139   2.7016727e-15
       3392.2622   2.7151349e-15
       3392.5105   2.5821321e-15
       3392.7587   2.6326506e-15
       3393.0070   2.7063420e-15
       3393.2553   2.5828245e-15
       3393.5035   2.5484785e-15
       3393.7518   2.5324137e-15
       3394.0001   2.4652879e-15
       3394.2483   2.4237888e-15
       3394.4966   2.5841657e-15
       3394.7449   2.6647312e-15
       3394.9931   2.7120888e-15
       3395.2414   2.7504420e-15
       3395.4896   2.7579464e-15
       3395.7379   2.8136073e-15
       3395.9862   2.6164926e-15
       3396.2344   2.4665651e-15
       3396.4827   2.4850399e-15
       3396.7310   2.5543794e-15
       3396.9792   2.6816975e-15
       3397.2275   2.5734289e-15
       3397.4758   2.4853656e-15
       3397.7240   2.4331231e-15
       3397.9723   2.4945315e-15
       3398.2206   2.4327826e-15
