BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                 1001  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel (out of date)                
IRAF-MIN=                   0.  /  Min image pixel (out of date)                
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
5540.05456018444  1.092125E-18
5543.61224770542  1.483153E-18
5547.1699352264  1.224921E-18
5550.72762274738  1.177993E-18
5554.28531026836  1.528001E-18
5557.84299778934  1.800462E-18
5561.40068531033  1.510588E-18
5564.95837283131  1.935899E-18
5568.51606035229  1.369880E-18
5572.07374787327  1.057296E-18
5575.63143539425  2.008008E-18
5579.18912291523  1.516464E-18
5582.74681043621  1.950969E-18
5586.30449795719  1.371485E-18
5589.86218547817  1.394611E-18
5593.41987299915  1.400208E-18
5596.97756052013  9.926807E-19
5600.53524804111  1.034597E-18
5604.0929355621  1.201077E-18
5607.65062308308  1.607822E-18
5611.20831060406  1.409862E-18
5614.76599812504  1.350654E-18
5618.32368564602  8.837269E-19
5621.881373167  1.412750E-18
5625.43906068798  1.125772E-18
5628.99674820896  1.409237E-18
5632.55443572994  1.537724E-18
5636.11212325092  1.280433E-18
5639.6698107719  1.336108E-18
5643.22749829288  1.667719E-18
5646.78518581386  1.229871E-18
5650.34287333484  1.709483E-18
5653.90056085583  1.054289E-18
5657.45824837681  8.974035E-19
5661.01593589779  1.477231E-18
5664.57362341877  1.348510E-18
5668.13131093975  1.028927E-18
5671.68899846073  1.237549E-18
5675.24668598171  9.566423E-19
5678.80437350269  1.057509E-18
5682.36206102367  1.138184E-18
5685.91974854465  1.061030E-18
5689.47743606563  1.185816E-18
5693.03512358662  1.001112E-18
5696.5928111076  8.925289E-19
5700.15049862858  5.226822E-19
5703.70818614956  1.070780E-18
5707.26587367054  1.128966E-18
5710.82356119152  9.668576E-19
5714.3812487125  1.062991E-18
5717.93893623348  1.184789E-18
5721.49662375446  1.277232E-18
5725.05431127544  1.518252E-18
5728.61199879642  1.094864E-18
5732.1696863174  1.394217E-18
5735.72737383839  1.164441E-18
5739.28506135937  1.055947E-18
5742.84274888035  8.806383E-19
5746.40043640133  8.057600E-19
5749.95812392231  1.405360E-18
5753.51581144329  1.140568E-18
5757.07349896427  1.378855E-18
5760.63118648525  1.291210E-18
5764.18887400623  1.296869E-18
5767.74656152721  1.131072E-18
5771.30424904819  8.384613E-19
5774.86193656917  9.945263E-19
5778.41962409015  8.314613E-19
5781.97731161114  1.191027E-18
5785.53499913212  1.256163E-18
5789.0926866531  1.409317E-18
5792.65037417408  9.929835E-19
5796.20806169506  8.679953E-19
5799.76574921604  9.471464E-19
5803.32343673702  1.032391E-18
5806.881124258  1.032797E-18
5810.43881177898  1.189804E-18
5813.99649929996  1.030555E-18
5817.55418682094  9.293757E-19
5821.11187434192  1.312661E-18
5824.66956186291  1.200367E-18
5828.22724938389  1.378435E-18
5831.78493690487  1.255995E-18
