3.500000000000000000e+03 1.507333881396364338e-15 1.860444473521924631e-16
3.500777832031250000e+03 1.419285124166635038e-15 1.850941954993813457e-16
3.501555419921875000e+03 1.348212389507539612e-15 1.870648705907276789e-16
3.502333251953125000e+03 1.737666703710278975e-15 1.928768003932028615e-16
3.503111083984375000e+03 1.519639681933193220e-15 1.846185335599388527e-16
3.503888671875000000e+03 1.240737249269888154e-15 1.861127261486750402e-16
3.504666503906250000e+03 1.271209471305598422e-15 1.881704735800211552e-16
3.505444335937500000e+03 1.504443169705622224e-15 1.876849648825668310e-16
3.506221923828125000e+03 1.336082242428147590e-15 1.907727970220027811e-16
3.506999755859375000e+03 1.182226119097692409e-15 1.908849097735057683e-16
3.507777587890625000e+03 1.494551095431112878e-15 1.875149097835157293e-16
3.508555175781250000e+03 1.287218605766941512e-15 1.791808864410316640e-16
3.509333007812500000e+03 1.012379284272496918e-15 1.798818723793336018e-16
3.510110839843750000e+03 1.403264131244030388e-15 1.807888064378265422e-16
3.510888671875000000e+03 1.622746037987143810e-15 1.812984291044980123e-16
3.511666259765625000e+03 1.349212629539128534e-15 1.816572004972194119e-16
3.512444091796875000e+03 1.217771644970982309e-15 1.839527921331765743e-16
3.513221923828125000e+03 1.353201095929512220e-15 1.783253963991946215e-16
3.513999511718750000e+03 1.029835998040697607e-15 1.778821070002050038e-16
3.514777343750000000e+03 1.050022593118780500e-15 1.713863569114995838e-16
3.515555175781250000e+03 1.316442407117517348e-15 1.786862191998351526e-16
3.516332763671875000e+03 1.458617416709743694e-15 1.782051044857947100e-16
3.517110595703125000e+03 1.327762261303742225e-15 1.731405224405938373e-16
3.517888427734375000e+03 1.347401249581425212e-15 1.739298645032062393e-16
3.518666015625000000e+03 1.190785387029697114e-15 1.774873499421150973e-16
3.519443847656250000e+03 1.485820091569052363e-15 1.812786164744661422e-16
3.520221679687500000e+03 1.416766577577092782e-15 1.764575696364906817e-16
3.520999267578125000e+03 1.657030967076682498e-15 1.761021334359990959e-16
3.521777099609375000e+03 1.480975486627231393e-15 1.712369217707582041e-16
3.522554931640625000e+03 1.555425976921740155e-15 1.751144665497209800e-16
3.523332519531250000e+03 1.711445528278601226e-15 1.807260201206113172e-16
3.524110351562500000e+03 1.381273461867414242e-15 1.748934835947162135e-16
3.524888183593750000e+03 1.197231519516539153e-15 1.728729394386002835e-16
