     0.802617 -2.26637e-17  9.52486e-17
     0.818632  8.94130e-15  1.25553e-16
     0.818868  8.85020e-15  1.25367e-16
     0.819102  8.62325e-15  1.24307e-16
     0.819336  9.04878e-15  1.27046e-16
     0.819569  9.12255e-15  1.26093e-16
     0.819801  9.08962e-15  1.24252e-16
     0.820033  9.37466e-15  1.25553e-16
     0.820263  9.29862e-15  1.24791e-16
     0.820493  9.24195e-15  1.27095e-16
     0.820722  9.50577e-15  1.29032e-16
     0.820950  9.75464e-15  1.29997e-16
     0.821178  9.80491e-15  1.31346e-16
     0.821405  1.01466e-14  1.33985e-16
     0.821631  9.72574e-15  1.32751e-16
     0.821856  9.74891e-15  1.34690e-16
     0.822081  9.76314e-15  1.34140e-16
     0.822305  9.42079e-15  1.31805e-16
     0.822529  9.18910e-15  1.29893e-16
     0.822752  8.90401e-15  1.27669e-16
     0.822974  8.76975e-15  1.26353e-16
     0.823196  8.62083e-15  1.24032e-16
     0.823417  8.52314e-15  1.21373e-16
     0.823637  8.88196e-15  1.21998e-16
     0.823857  8.81703e-15  1.19741e-16
     0.824077  8.75741e-15  1.20420e-16
     0.824296  8.60246e-15  1.17160e-16
     0.824514  9.01575e-15  1.18972e-16
     0.824733  9.41957e-15  1.20639e-16
     0.824950  9.62892e-15  1.21461e-16
     0.825168  9.64345e-15  1.21062e-16
     0.825384  9.30407e-15  1.18329e-16
     0.825601  8.57526e-15  1.14796e-16
     0.825817  8.41101e-15  1.16288e-16
     0.826032  9.11824e-15  1.17657e-16
     0.826247  9.67232e-15  1.20846e-16
     0.826462  9.41592e-15  1.19940e-16
     0.826677  9.49669e-15  1.20924e-16
     0.826891  9.52977e-15  1.22563e-16
     0.827104  9.46067e-15  1.23912e-16
     0.827318  9.88740e-15  1.27787e-16
     0.827531  9.55173e-15  1.25938e-16
     0.827744  9.47565e-15  1.25265e-16
     0.827957  9.62199e-15  1.25634e-16
     0.828169  9.59361e-15  1.25663e-16
     0.828381  9.50809e-15  1.24467e-16
     0.828593  9.37793e-15  1.23307e-16
     0.828804  9.29529e-15  1.22502e-16
     0.829016  9.17320e-15  1.21041e-16
     0.829227  9.69829e-15  1.23997e-16
     0.829438  9.46585e-15  1.21829e-16
     0.829648  9.45188e-15  1.20592e-16
     0.829859  9.14544e-15  1.18427e-16
     0.830069  9.26831e-15  1.18292e-16
     0.830280  9.55415e-15  1.19753e-16
     0.830490  9.66633e-15  1.20467e-16
     0.830700  9.49550e-15  1.19909e-16
     0.830910  9.72118e-15  1.20748e-16
     0.831119  9.23333e-15  1.17417e-16
     0.831329  9.13553e-15  1.16396e-16
     0.831538  8.94081e-15  1.15150e-16
     0.831748  9.18992e-15  1.24562e-16
     0.831957  9.31616e-15  1.17498e-16
     0.832166  8.92670e-15  1.14536e-16
     0.832375  8.48211e-15  1.12517e-16
     0.832584  8.18351e-15  1.11170e-16
     0.832793  8.79000e-15  1.13353e-16
     0.833002  9.13052e-15  1.16029e-16
     0.833211  9.27726e-15  1.17281e-16
     0.833420  9.27868e-15  1.17217e-16
     0.833629  9.10893e-15  1.16912e-16
     0.833838  9.06714e-15  1.16997e-16
     0.834047  9.29857e-15  1.18440e-16
     0.834256  9.34273e-15  1.19106e-16
     0.834465  9.31520e-15  1.19132e-16
     0.834674  9.25063e-15  1.18391e-16
     0.834883  8.93672e-15  1.16319e-16
     0.835092  9.12395e-15  1.16511e-16
     0.835301  9.32759e-15  1.17991e-16
     0.835510  1.00405e-14  1.28635e-16
     0.835719  9.94093e-15  1.27544e-16
     0.835928  9.09702e-15  1.16478e-16
     0.836137  8.41586e-15  1.09809e-16
     0.836347  8.85870e-15  1.09846e-16
     0.836556  8.75233e-15  1.08949e-16
     0.836766  8.73836e-15  1.07706e-16
     0.836975  8.78829e-15  1.07750e-16
     0.837185  8.82239e-15  1.07780e-16
     0.837395  8.64610e-15  1.06485e-16
     0.837605  8.74990e-15  1.06300e-16
     0.837815  8.75126e-15  1.06630e-16
     0.838025  8.72359e-15  1.06543e-16
     0.838235  8.64648e-15  1.06214e-16
     0.838445  8.63185e-15  1.05959e-16
     0.838656  8.77477e-15  1.07597e-16
     0.838866  8.62492e-15  1.07121e-16
     0.839077  8.47876e-15  1.05582e-16
     0.839288  8.18819e-15  1.04231e-16
     0.839499  7.94864e-15  1.03774e-16
     0.839711  7.88118e-15  1.03881e-16
     0.839922  8.16213e-15  1.04172e-16
     0.840134  7.94171e-15  1.03620e-16
     0.840345  8.12063e-15  1.04040e-16
     0.840557  7.84913e-15  1.02379e-16
     0.840769  7.80977e-15  1.02097e-16
     0.840982  7.93526e-15  1.02247e-16
     0.841194  7.56647e-15  9.98407e-17
     0.841407  7.69297e-15  1.00599e-16
     0.841620  7.59224e-15  9.99335e-17
     0.841833  7.43534e-15  9.91534e-17
     0.842046  7.02914e-15  9.75948e-17
     0.842260  7.53721e-15  1.00035e-16
     0.842474  7.49728e-15  9.99482e-17
