Skip Single
time off
label f
label X Observed Wavelength [\A]
label Y Normalized Flux
csize 1.5
lwidth 3
5928.81193594868  0.9703546
5928.89542354921  0.9834735
5928.97891114975  1.012578
5929.06239875028  0.9758698
5929.14588635081  0.9688903
5929.22937395135  0.9806793
5929.31286155188  1.020201
5929.39634915242  0.9953669
5929.47983675295  0.9791549
5929.56332435349  0.9859529
5929.64681195402  0.9866783
5929.73029955456  0.9841665
5929.81378715509  0.98489
5929.89727475563  1.006944
5929.98076235616  0.9881756
5930.0642499567  0.9687214
5930.14773755723  0.9686518
5930.23122515777  0.9826899
5930.3147127583  1.01803
5930.39820035883  1.034983
5930.48168795937  1.040456
5930.5651755599  0.9854206
5930.64866316044  0.9890579
5930.73215076097  0.9511112
5930.81563836151  0.9937209
5930.89912596204  1.004595
5930.98261356258  1.008102
5931.06610116311  1.017208
5931.14958876365  1.016395
5931.23307636418  1.011146
5931.31656396472  1.01879
5931.40005156525  0.966794
5931.48353916579  1.007744
5931.56702676632  0.9840031
5931.65051436685  0.8799154
5931.73400196739  0.7544765
5931.81748956792  0.5453654
5931.90097716846  0.341648
5931.98446476899  0.3749765
5932.06795236953  0.6885203
5932.15143997006  0.8905191
5932.2349275706  0.9404303
5932.31841517113  0.9826013
5932.40190277167  0.9848391
5932.4853903722  0.9725984
5932.56887797274  0.9917417
5932.65236557327  0.9995444
5932.73585317381  0.9598401
5932.81934077434  0.9365819
5932.90282837488  1.007712
5932.98631597541  1.021497
5933.06980357595  1.034288
5933.15329117648  1.018649
5933.23677877701  0.9897434
5933.32026637755  1.022373
5933.40375397808  1.001885
5933.48724157862  1.003162
5933.57072917915  1.009597
5933.65421677969  0.9969455
5933.73770438022  1.011472
5933.82119198076  1.001724
5933.90467958129  1.013282
5933.98816718183  0.9951097
5934.07165478236  1.04762
5934.15514238289  1.019193
5934.23862998343  1.03868
5934.32211758396  0.9884808
5934.4056051845  0.9818752
5934.48909278503  0.9808828
5934.57258038557  1.008641
5934.6560679861  1.032292
5934.73955558664  1.023502
5934.82304318717  1.003736
5934.90653078771  1.05098
5934.99001838824  1.020883
5935.07350598878  1.042799
5935.15699358931  1.018204
5935.24048118985  1.01669
5935.32396879038  0.996498
5935.40745639092  0.9971848
5935.49094399145  0.9904443
5935.57443159198  0.9599388
5935.65791919252  1.029243
5935.74140679305  0.99633
5935.82489439359  1.007634
5935.90838199412  0.9716925
5935.99186959466  1.049113
5936.07535719519  0.9885206
5936.15884479573  0.9885075
5936.24233239626  1.017114
5936.3258199968  0.9991983
5936.40930759733  0.9993993
5936.49279519787  1.00322
5936.5762827984  0.983615
5936.65977039893  1.002963
5936.74325799947  0.9930232
5936.82674560001  0.9864458
5936.91023320054  0.9935042
5936.99372080107  1.007333
5937.07720840161  1.018232
5937.16069600214  1.011154
5937.24418360268  1.004544
5937.32767120321  0.9700951
5937.41115880375  1.002006
5937.49464640428  0.9724697
5937.57813400482  1.026184
5937.66162160535  0.9359381
5937.74510920589  0.8465461
5937.82859680642  0.6890785
5937.91208440696  0.4904355
5937.99557200749  0.4990501
5938.07905960803  0.7565497
5938.16254720856  0.970433
5938.2460348091  0.9885515
5938.32952240963  0.9804496
5938.41301001016  0.9513056
5938.4964976107  1.012922
5938.57998521123  0.999293
5938.66347281177  0.9532669
5938.7469604123  0.9962782
5938.83044801284  0.9744878
5938.91393561337  0.9670623
5938.99742321391  1.00331
5939.08091081444  0.9945689
5939.16439841498  1.014699
5939.24788601551  1.055868
5939.33137361605  0.9762364
5939.41486121658  0.9918228
5939.49834881712  0.9826893
5939.58183641765  1.035418
5939.66532401818  0.9980578
5939.74881161872  1.001852
5939.83229921926  0.9790683
5939.91578681979  1.045388
5939.99927442032  0.9887696
5940.08276202086  1.025202
5940.16624962139  0.9569648
5940.24973722193  1.008144
5940.33322482246  1.014769
5940.416712423  0.9807715
5940.50020002353  1.001755
5940.58368762407  0.9797456
5940.6671752246  0.9957774
5940.75066282514  0.995686
5940.83415042567  0.9796681
5940.91763802621  0.9614265
5941.00112562674  0.9846913
5941.08461322727  0.9486405
5941.16810082781  0.9751094
5941.25158842834  0.9874783
5941.33507602888  0.9996538
5941.41856362941  1.015395
5941.50205122995  0.9903553
5941.58553883048  0.9634283
5941.66902643102  0.986938
5941.75251403155  1.022616
5941.83600163209  1.012927
5941.91948923262  1.003892
5942.00297683316  1.020723
5942.08646443369  0.9629391
5942.16995203422  0.9867017
5942.25343963476  1.010687
5942.3369272353  0.9671729
5942.42041483583  0.9998731
5942.50390243636  0.9289786
5942.5873900369  0.9541001
5942.67087763743  0.9731231
5942.75436523797  0.9913708
5942.8378528385  1.032424
5942.92134043904  1.006913
5943.00482803957  0.9777705
5943.08831564011  1.04677
5943.17180324064  0.970264
5943.25529084118  1.021852
5943.33877844171  1.001304
5943.42226604225  0.997128
5943.50575364278  0.9844952
5943.58924124331  1.029054
5943.67272884385  0.9933614
5943.75621644438  1.025071
5943.83970404492  1.043561
5943.92319164545  0.9879491
