      9109.81 -3.54572e-15  6.57709e-15
      9704.22  1.43848e-15  1.94454e-16
      9705.46  1.43721e-15  1.90738e-16
      9706.70  1.57621e-15  1.82895e-16
      9707.94  1.33151e-15  1.74435e-16
      9709.18  1.31995e-15  1.82926e-16
      9710.42  1.15089e-15  1.70099e-16
      9711.66  1.38923e-15  1.73728e-16
      9712.90  1.45734e-15  1.74520e-16
      9714.14  1.40972e-15  1.74257e-16
      9715.38  1.39602e-15  1.69934e-16
      9716.61  1.46052e-15  1.67276e-16
      9717.85  1.38841e-15  1.71018e-16
      9719.09  1.17793e-15  1.77830e-16
      9720.33  1.36783e-15  1.81737e-16
      9721.57  1.37588e-15  1.78846e-16
      9722.81  1.28398e-15  1.71630e-16
      9724.05  1.37178e-15  1.67831e-16
      9725.28  1.20083e-15  1.66580e-16
      9726.52  1.24688e-15  1.70258e-16
      9727.76  1.24280e-15  1.79367e-16
      9729.00  1.40645e-15  1.79934e-16
      9730.24  1.26905e-15  1.68230e-16
      9731.48  1.13560e-15  1.76303e-16
      9732.72  1.18886e-15  1.61697e-16
      9733.95  1.22376e-15  1.62182e-16
      9735.19  1.17818e-15  1.65475e-16
      9736.43  1.39361e-15  1.65146e-16
      9737.67  1.04767e-15  1.71405e-16
      9738.91  1.09785e-15  1.75725e-16
      9740.14  1.10829e-15  1.86523e-16
      9741.38  1.26123e-15  1.80697e-16
      9742.62  1.41588e-15  1.78512e-16
      9743.86  1.23642e-15  1.66950e-16
      9745.10  1.15019e-15  1.58667e-16
      9746.33  1.10528e-15  1.64888e-16
      9747.57  1.27510e-15  1.67178e-16
      9748.81  1.36001e-15  1.64850e-16
      9750.05  1.22420e-15  1.60861e-16
      9751.29  1.21265e-15  1.60359e-16
      9752.52  1.19226e-15  1.61580e-16
      9753.76  1.10889e-15  1.64256e-16
      9755.00  1.19359e-15  1.61032e-16
      9756.24  1.09211e-15  1.55897e-16
      9757.48  1.13300e-15  1.55997e-16
      9758.71  1.06453e-15  1.58824e-16
      9759.95  9.39147e-16  1.63815e-16
      9761.19  1.14703e-15  1.65233e-16
      9762.43  1.02824e-15  1.61674e-16
      9763.66  1.20034e-15  1.56928e-16
      9764.90  1.05536e-15  1.53707e-16
      9766.14  1.11678e-15  1.58150e-16
      9767.38  1.15853e-15  1.62500e-16
      9768.61  1.20438e-15  1.63171e-16
      9769.85  1.17387e-15  1.54495e-16
      9771.09  1.15387e-15  1.45977e-16
      9772.33  1.09230e-15  1.38560e-16
      9773.56  1.18810e-15  1.40436e-16
      9774.80  1.13386e-15  1.38005e-16
      9776.04  1.09574e-15  1.42491e-16
      9777.28  1.08108e-15  1.41715e-16
      9778.51  1.11451e-15  1.43706e-16
      9779.75  1.00115e-15  1.42337e-16
      9780.99  9.88564e-16  1.42911e-16
      9782.22  1.05130e-15  1.45440e-16
      9783.46  1.23111e-15  1.63234e-16
      9784.70  9.51234e-16  1.47157e-16
      9785.94  1.03740e-15  1.48135e-16
      9787.17  1.04933e-15  1.50119e-16
      9788.41  1.12687e-15  1.42918e-16
      9789.65  1.09088e-15  1.41806e-16
      9790.88  1.20780e-15  1.47718e-16
      9792.12  1.32595e-15  1.60818e-16
      9793.36  1.05385e-15  1.62178e-16
      9794.59  1.12437e-15  1.55384e-16
      9795.83  9.52718e-16  1.49132e-16
      9797.07  1.22439e-15  1.44746e-16
      9798.30  1.20930e-15  1.43341e-16
      9799.54  1.16085e-15  1.42974e-16
      9800.78  9.84609e-16  1.38532e-16
      9802.01  1.19533e-15  1.40422e-16
      9803.25  1.10511e-15  1.39222e-16
      9804.49  1.08433e-15  1.38935e-16
      9805.72  1.15921e-15  1.52434e-16
      9806.96  1.16998e-15  1.51863e-16
      9808.20  1.16150e-15  1.41287e-16
      9809.43  1.15548e-15  1.37913e-16
      9810.67  1.00753e-15  1.28025e-16
      9811.91  1.01693e-15  1.27062e-16
      9813.14  1.12378e-15  1.26526e-16
      9814.38  1.12091e-15  1.28993e-16
      9815.62  9.93656e-16  1.30748e-16
      9816.85  9.62720e-16  1.29986e-16
      9818.09  1.09542e-15  1.27729e-16
      9819.32  1.20127e-15  1.25452e-16
      9820.56  1.00481e-15  1.24568e-16
      9821.79  1.02190e-15  1.24189e-16
      9823.03  1.00846e-15  1.28842e-16
      9824.27  1.04309e-15  1.27383e-16
      9825.50  9.37451e-16  1.24242e-16
      9826.74  1.08323e-15  1.42379e-16
      9827.98  9.41604e-16  1.24143e-16
      9829.21  9.61553e-16  1.25701e-16
      9830.45  1.17225e-15  1.28532e-16
      9831.68  1.01695e-15  1.28236e-16
      9832.92  9.70901e-16  1.34110e-16
      9834.16  1.05159e-15  1.20990e-16
      9835.39  1.05805e-15  1.20555e-16
      9836.63  1.00755e-15  1.21231e-16
      9837.86  1.07712e-15  1.22811e-16
      9839.10  9.84963e-16  1.20876e-16
      9840.33  1.00713e-15  1.23325e-16
      9841.57  1.01636e-15  1.25495e-16
      9842.80  1.01421e-15  1.17256e-16
      9844.04  1.15302e-15  1.15211e-16
      9845.28  9.71909e-16  1.16964e-16
      9846.51  1.07714e-15  1.17282e-16
      9847.75  9.66649e-16  1.38589e-16
      9848.98  1.05455e-15  1.24539e-16
      9850.22  1.03007e-15  1.22857e-16
      9851.45  1.09365e-15  1.22808e-16
      9852.69  1.05863e-15  1.19798e-16
      9853.92  1.11434e-15  1.19181e-16
      9855.16  9.78461e-16  1.24167e-16
      9856.39  1.13308e-15  1.18081e-16
      9857.63  9.96034e-16  1.15644e-16
      9858.86  9.09952e-16  1.28597e-16
      9860.10  1.05725e-15  1.09755e-16
      9861.33  1.14553e-15  1.10360e-16
      9862.57  1.01853e-15  1.13062e-16
      9863.80  1.06051e-15  1.16957e-16
      9865.04  9.54739e-16  1.15753e-16
      9866.28  1.00326e-15  1.15370e-16
      9867.51  1.09979e-15  1.08950e-16
      9868.75  1.02813e-15  1.09271e-16
      9869.98  9.71772e-16  1.13055e-16
      9871.21  1.02734e-15  1.14111e-16
      9872.45  1.07216e-15  1.19760e-16
      9873.68  1.03469e-15  1.27866e-16
      9874.92  9.15583e-16  1.29180e-16
      9876.15  9.75491e-16  1.20982e-16
      9877.39  9.60517e-16  1.15079e-16
      9878.62  9.86530e-16  1.15501e-16
      9879.86  1.06845e-15  1.16865e-16
      9881.09  1.03762e-15  1.12178e-16
      9882.33  9.42561e-16  1.23572e-16
      9883.56  1.04679e-15  1.05576e-16
      9884.80  9.78254e-16  1.05679e-16
      9886.03  1.01154e-15  1.09251e-16
      9887.26  1.10938e-15  1.12341e-16
      9888.50  1.00519e-15  1.12411e-16
      9889.73  9.96021e-16  1.12097e-16
      9890.97  1.06611e-15  1.09489e-16
      9892.20  1.00987e-15  1.08213e-16
      9893.44  1.04604e-15  1.08043e-16
      9894.67  9.39451e-16  1.15186e-16
      9895.91  9.90597e-16  1.17909e-16
      9897.14  9.46201e-16  1.17184e-16
      9898.37  1.00327e-15  1.14637e-16
      9899.61  1.10099e-15  1.08312e-16
      9900.84  9.54570e-16  1.07524e-16
      9902.08  9.78443e-16  1.08528e-16
      9903.31  9.74251e-16  1.11355e-16
      9904.54  9.73057e-16  1.09176e-16
      9905.78  1.14558e-15  1.19449e-16
      9907.01  9.42454e-16  1.05243e-16
      9908.25  1.06595e-15  1.04344e-16
      9909.48  1.05757e-15  1.06289e-16
      9910.71  1.06149e-15  1.07387e-16
      9911.95  8.93470e-16  1.07216e-16
      9913.18  1.00558e-15  1.07876e-16
      9914.42  1.07017e-15  1.08666e-16
      9915.65  1.14602e-15  1.15923e-16
      9916.88  8.44999e-16  1.25824e-16
      9918.12  9.33334e-16  1.18514e-16
      9919.35  1.14819e-15  1.10023e-16
      9920.58  1.00551e-15  1.03455e-16
      9921.82  1.04727e-15  1.01019e-16
      9923.05  1.08233e-15  1.00937e-16
      9924.28  1.11164e-15  9.88771e-17
      9925.52  1.03690e-15  9.75691e-17
      9926.75  1.05773e-15  1.01545e-16
      9927.98  9.79721e-16  1.02419e-16
      9929.22  1.06815e-15  1.00154e-16
      9930.45  1.12949e-15  9.68212e-17
      9931.68  1.05627e-15  9.71387e-17
      9932.92  1.04297e-15  1.00858e-16
      9934.15  1.05977e-15  1.03101e-16
      9935.38  1.01168e-15  1.02785e-16
      9936.62  1.00227e-15  9.82479e-17
      9937.85  9.73574e-16  9.68966e-17
      9939.08  9.78042e-16  9.69069e-17
      9940.32  1.00343e-15  9.65204e-17
      9941.55  9.69963e-16  9.86789e-17
      9942.78  1.00671e-15  1.08382e-16
      9944.02  8.44474e-16  1.12310e-16
      9945.25  1.00924e-15  1.06101e-16
      9946.48  1.10526e-15  1.02417e-16
      9947.71  9.82325e-16  1.08173e-16
      9948.95  1.06379e-15  1.15485e-16
      9950.18  1.10276e-15  1.11107e-16
      9951.41  9.63739e-16  1.07366e-16
      9952.65  9.78831e-16  9.96625e-17
      9953.88  1.00624e-15  9.48881e-17
      9955.11  1.02969e-15  9.48515e-17
      9956.34  9.80380e-16  1.07553e-16
      9957.58  9.97385e-16  1.06123e-16
      9958.81  1.02237e-15  1.15459e-16
      9960.04  1.05363e-15  1.10271e-16
      9961.27  1.08158e-15  1.01834e-16
      9962.51  1.05313e-15  9.96447e-17
      9963.74  1.07122e-15  1.04919e-16
      9964.97  1.16121e-15  1.10348e-16
      9966.21  1.04071e-15  1.03924e-16
      9967.44  1.05731e-15  1.00668e-16
      9968.67  1.03070e-15  1.01265e-16
      9969.90  1.09168e-15  9.35476e-17
      9971.13  1.15178e-15  9.31048e-17
      9972.37  1.06700e-15  9.32621e-17
      9973.60  1.10714e-15  9.74669e-17
      9974.83  1.06016e-15  1.01213e-16
      9976.06  1.05453e-15  9.64892e-17
      9977.29  1.04060e-15  9.53441e-17
      9978.53  1.06592e-15  9.05333e-17
      9979.76  1.13951e-15  9.20553e-17
      9980.99  1.04032e-15  9.42178e-17
      9982.22  1.11585e-15  9.55091e-17
      9983.46  1.16473e-15  9.34540e-17
      9984.69  1.01223e-15  9.15285e-17
      9985.92  1.09991e-15  8.98348e-17
      9987.15  1.06779e-15  8.82892e-17
      9988.38  1.10761e-15  9.01720e-17
      9989.61  1.02224e-15  9.35570e-17
      9990.85  1.02051e-15  9.47886e-17
      9992.08  1.15313e-15  9.16562e-17
      9993.31  1.11986e-15  8.96169e-17
      9994.54  1.06850e-15  8.94344e-17
      9995.77  1.04373e-15  9.11191e-17
      9997.00  1.11429e-15  9.24939e-17
      9998.24  1.21278e-15  9.50305e-17
      9999.47  1.08301e-15  1.02339e-16
      10000.7  1.08596e-15  9.16464e-17
      10001.9  1.21303e-15  9.06866e-17
      10003.2  1.17396e-15  9.15779e-17
      10004.4  1.23459e-15  9.41307e-17
      10005.6  1.14237e-15  9.50430e-17
      10006.9  1.02883e-15  9.37188e-17
      10008.1  1.12231e-15  8.96317e-17
      10009.3  1.11026e-15  8.75056e-17
      10010.6  1.02288e-15  8.97668e-17
      10011.8  1.27266e-15  9.17911e-17
      10013.0  1.11786e-15  1.11767e-16
      10014.2  1.11422e-15  1.14326e-16
      10015.5  1.30127e-15  1.18296e-16
      10016.7  1.12435e-15  1.09620e-16
      10017.9  1.21311e-15  9.59297e-17
      10019.2  1.12487e-15  8.86930e-17
      10020.4  1.17571e-15  9.14094e-17
      10021.6  1.14513e-15  9.62035e-17
      10022.9  1.20865e-15  9.43153e-17
      10024.1  1.11258e-15  8.88103e-17
      10025.3  1.14292e-15  8.80421e-17
      10026.6  1.17837e-15  9.41877e-17
      10027.8  1.21776e-15  9.89870e-17
      10029.0  1.29018e-15  9.88044e-17
      10030.2  1.22242e-15  1.02104e-16
      10031.5  1.15620e-15  9.13770e-17
      10032.7  1.09876e-15  8.65343e-17
      10033.9  1.15271e-15  8.84317e-17
      10035.2  1.26380e-15  8.71370e-17
      10036.4  1.19357e-15  9.04041e-17
      10037.6  1.16786e-15  9.64156e-17
      10038.9  1.14555e-15  9.03220e-17
      10040.1  1.17867e-15  8.70487e-17
      10041.3  1.22710e-15  8.51060e-17
      10042.6  1.18027e-15  8.41214e-17
      10043.8  1.25545e-15  8.59947e-17
      10045.0  1.21027e-15  9.22569e-17
      10046.2  1.22154e-15  9.13230e-17
      10047.5  1.21616e-15  8.91097e-17
      10048.7  1.18348e-15  8.47859e-17
      10049.9  1.31176e-15  8.45697e-17
      10051.2  1.20808e-15  8.69616e-17
      10052.4  1.23078e-15  8.98556e-17
      10053.6  1.25760e-15  9.05142e-17
      10054.9  1.30220e-15  8.69839e-17
      10056.1  1.31843e-15  8.38529e-17
      10057.3  1.31551e-15  8.30378e-17
      10058.5  1.29451e-15  8.32899e-17
      10059.8  1.22171e-15  8.56727e-17
      10061.0  1.32268e-15  9.03212e-17
      10062.2  1.45452e-15  9.06452e-17
      10063.5  1.33899e-15  9.05484e-17
      10064.7  1.36792e-15  8.71446e-17
      10065.9  1.36131e-15  8.53665e-17
      10067.2  1.36783e-15  8.53038e-17
      10068.4  1.39426e-15  8.89225e-17
      10069.6  1.35398e-15  8.60367e-17
      10070.8  1.42952e-15  8.38953e-17
      10072.1  1.31967e-15  8.48891e-17
      10073.3  1.28810e-15  8.64671e-17
      10074.5  1.37140e-15  8.67084e-17
      10075.8  1.37348e-15  8.79982e-17
      10077.0  1.40338e-15  8.73503e-17
      10078.2  1.34844e-15  8.47451e-17
      10079.5  1.46509e-15  8.22700e-17
      10080.7  1.53347e-15  8.19607e-17
      10081.9  1.43874e-15  8.47674e-17
      10083.1  1.50809e-15  9.50741e-17
      10084.4  1.47322e-15  1.04614e-16
      10085.6  1.47338e-15  1.02819e-16
      10086.8  1.52348e-15  9.13646e-17
      10088.1  1.48955e-15  8.36666e-17
      10089.3  1.58433e-15  8.27168e-17
      10090.5  1.52052e-15  8.36430e-17
      10091.7  1.59605e-15  8.84025e-17
      10093.0  1.57764e-15  8.61257e-17
      10094.2  1.55815e-15  8.45603e-17
      10095.4  1.54837e-15  8.21345e-17
      10096.7  1.50165e-15  8.28508e-17
      10097.9  1.53030e-15  8.42884e-17
      10099.1  1.60769e-15  8.70028e-17
      10100.3  1.65072e-15  8.63303e-17
      10101.6  1.69067e-15  8.42503e-17
      10102.8  1.58230e-15  8.19348e-17
      10104.0  1.69792e-15  8.32402e-17
      10105.3  1.73157e-15  9.73803e-17
      10106.5  1.80048e-15  9.52234e-17
      10107.7  1.87280e-15  9.48680e-17
      10108.9  1.83618e-15  8.82963e-17
      10110.2  1.74584e-15  9.08066e-17
      10111.4  1.78799e-15  8.04890e-17
      10112.6  1.82847e-15  8.88009e-17
      10113.9  1.85649e-15  8.32353e-17
      10115.1  1.85096e-15  9.38168e-17
      10116.3  1.85764e-15  8.56437e-17
      10117.5  1.84771e-15  8.45924e-17
      10118.8  1.90544e-15  8.00738e-17
      10120.0  1.92091e-15  8.09630e-17
      10121.2  1.85816e-15  8.78026e-17
      10122.5  1.86189e-15  8.70608e-17
      10123.7  1.90169e-15  8.86271e-17
      10124.9  2.06221e-15  9.32661e-17
      10126.1  2.18685e-15  1.00143e-16
      10127.4  2.04620e-15  9.67200e-17
